,district,dbn,total enrollment,total funding,total federal funding,total city/state,per pupil funding
357,10,X095,1329,30279903,3289223,26990679,22783.975
358,10,X118,1148,25250004,2623696,22626309,21994.777
359,10,X141,1459,28307718,1146025,27161693,19402.137
360,10,X206,197,6670938,719288,5951650,33862.629
361,10,X225,615,15165681,795869,14369813,24659.644
362,32,K291,309,10676377,1781679,8894698,34551.382
363,10,X228,266,8750246,494409,8255837,32895.662
364,10,X243,605,13828957,1376894,12452063,22857.78
365,10,X244,716,16698380,1622077,15076303,23321.76
366,10,X254,484,12593449,1195045,11398404,26019.523
367,10,X280,891,18994972,2588444,16406528,21318.712
368,10,X308,275,8005293,423740,7581553,29110.156
369,10,X315,274,7519493,839839,6679654,27443.405
370,10,X331,391,12233228,1466838,10766390,31287.028
371,23,K323,495,11974568,2102293,9872274,24191.046
372,10,X342,533,11917612,1277467,10640144,22359.497
373,10,X363,503,16943949,799029,16144920,33685.783
374,10,X368,945,20732526,2213230,18519296,21939.181
375,10,X390,522,13274710,1728453,11546258,25430.479
376,32,K384,558,15859447,2775800,13083646,28421.948
377,10,X391,528,17401796,1296207,16105589,32957.947
378,10,X447,474,12911033,1232208,11678825,27238.466
379,10,X459,264,7415720,776573,6639147,28089.848
380,23,K041,476,14080065,1746599,12333467,29579.968
381,23,K155,454,12569703,2479406,10090297,27686.57
382,23,K178,370,10758999,1798198,8960801,29078.376
383,23,K184,509,14610580,2453281,12157299,28704.479
384,23,K284,476,14526777,1955447,12571330,30518.439
385,23,K363,88,2800159,131518,2668640,31819.989
386,23,K392,294,7590183,602180,6988003,25816.949
387,23,K518,200,5608500,510831,5097669,28042.5
388,23,K522,165,5114188,373279,4740909,30995.079
389,4,M050,247,9891551,1525211,8366340,40046.765
390,23,K644,626,14263141,802079,13461062,22784.57
391,23,K664,89,3832061,672982,3159079,43056.865
392,23,K668,115,4149808,549798,3600010,36085.287
393,23,K671,198,5543182,326392,5216790,27995.869
394,29,Q109,1039,20606506,1236341,19370166,19833.018
395,29,Q116,766,18382593,2869449,15513144,23998.163
396,29,Q138,777,17521025,2555263,14965762,22549.582
397,29,Q147,606,13846860,1815128,12031731,22849.604
398,29,Q192,507,11346171,899541,10446630,22379.036
399,29,Q208,739,17154340,1067907,16086434,23212.909
400,29,Q238,1511,30191836,2606511,27585325,19981.361
401,29,Q259,618,11501576,571045,10930531,18610.964
402,29,Q268,604,13341916,1050660,12291256,22089.265
403,29,Q270,706,14971531,872973,14098558,21206.135
404,29,Q283,609,11878947,726109,11152838,19505.66
405,29,Q289,232,5333006,110685,5222321,22987.095
406,29,Q295,532,12007172,908856,11098316,22569.872
407,29,Q327,507,13253453,361469,12891985,26140.933
408,29,Q355,341,9031157,462366,8568791,26484.331
409,29,Q356,314,8336390,451787,7884602,26549.013
410,32,K045,726,17928048,3321694,14606354,24694.281
411,32,K162,425,11512723,1425064,10087659,27088.76
412,32,K347,300,9352185,1226608,8125576,31173.95
413,32,K349,295,9107948,1188369,7919580,30874.4
414,32,K377,375,12782289,2432450,10349839,34086.104
415,32,K383,915,18960595,1362503,17598092,20721.962
416,32,K554,413,7889039,595801,7293238,19101.789
417,15,K497,563,12355544,1110218,11245327,21945.904
418,32,K562,325,9036804,1049189,7987616,27805.551
419,4,M007,375,9898755,1489945,8408810,26396.68
420,4,M012,569,10067453,354277,9713176,17693.239
421,4,M057,833,19497631,2726252,16771379,23406.52
422,4,M072,687,15977970,2379223,13598747,23257.598
423,4,M096,450,14101843,2080846,12020997,31337.429
424,4,M108,513,13424132,2132905,11291227,26167.899
425,4,M171,742,15818947,2065980,13752968,21319.336
426,4,M206,479,17884344,1162684,16721659,37336.835
427,4,M224,155,4237613,300776,3936837,27339.439
428,4,M372,586,15926081,1135096,14790985,27177.613
429,4,M377,142,5056592,274002,4782590,35609.803
430,4,M406,134,4473977,326789,4147188,33387.888
431,4,M610,482,11008920,534725,10474195,22840.083
432,4,M825,197,5715886,648679,5067207,29014.65
433,4,M964,387,10090347,980036,9110311,26073.248
434,8,X131,469,13048755,1526894,11521860,27822.505
435,8,X071,1695,35060207,3699501,31360706,20684.488
436,8,X101,501,10770662,326259,10444402,21498.327
437,8,X123,325,10648540,1247695,9400846,32764.738
438,8,X125,365,9477870,1205955,8271915,25966.767
439,8,X301,237,7465641,907262,6558379,31500.595
440,8,X302,489,13023302,2017879,11005423,26632.519
441,8,X337,541,12330248,812141,11518107,22791.586
442,8,X367,692,16097827,1328830,14768997,23262.756
443,8,X371,339,8459398,560005,7899393,24953.976
444,8,X375,239,8017190,779354,7237836,33544.728
445,8,X376,420,10437501,822521,9614979,24851.193
446,15,K447,522,13564858,261713,13303145,25986.318
447,8,X424,297,10342887,1687715,8655172,34824.535
448,8,X448,375,9478991,623307,8855685,25277.309
449,8,X562,333,7777104,427969,7349135,23354.667
450,15,K051,1125,21385867,685352,20700515,19009.66
451,15,K088,1308,31009910,2645327,28364584,23707.882
452,15,K136,486,13065051,994822,12070229,26882.821
453,15,K442,211,7322943,479799,6843144,34705.891
454,15,K443,563,11253937,282283,10971654,19989.231
455,15,K821,508,11583346,848097,10735249,22801.862
456,15,K839,209,5183761,135634,5048127,24802.684
457,18,K066,814,16557219,1629227,14927992,20340.564
458,18,K068,393,12559749,1705606,10854143,31958.649
459,18,K581,127,4978998,899544,4079454,39204.709
460,18,K211,539,14587113,1377215,13209898,27063.289
461,18,K235,1262,24866732,2875481,21991252,19704.225
462,18,K285,663,15725391,1558782,14166609,23718.538
463,18,K366,431,10881595,583509,10298086,25247.32
464,18,K588,191,5972133,506471,5465662,31267.712
465,18,K598,155,4534346,335024,4199322,29253.845
466,18,K763,225,5776313,285848,5490465,25672.502
467,28,Q008,357,11029150,1285920,9743230,30893.978
468,28,Q072,442,12636513,1209784,11426729,28589.396
469,28,Q157,1572,29892787,974096,28918691,19015.768
470,28,Q167,825,16818493,443602,16374891,20386.052
471,28,Q190,1036,19547634,707113,18840521,18868.373
472,28,Q217,1644,32755481,2426662,30328818,19924.259
473,28,Q284,620,10955363,505421,10449942,17669.94
474,28,Q287,372,8990906,330808,8660098,24169.102
475,28,Q310,668,13492440,611330,12881110,20198.263
476,28,Q332,329,7824395,283226,7541169,23782.356
477,28,Q680,704,13820900,223361,13597539,19631.96
478,28,Q896,566,10673543,464723,10208820,18857.85
479,30,Q235,149,4073425,344767,3728658,27338.423
